Name,Position,Yrs,G,AB,H,HR,BA,OBP,SLG,OPS,oWAR,dWAR,w/OBA,wRC+,HoF grade,
Mike Schmidt,3B,18,2404,8352,2234,548,0.267,0.38,0.527,0.908,91.8,18.4,0.395,147,64.35,
Eddie Mathews,3B,17,2391,8537,2315,512,0.271,0.376,0.509,0.885,93.7,5.6,0.389,143,60.67,
Wade Boggs,3B,18,2439,9180,3010,118,0.328,0.415,0.443,0.858,81.4,13.9,0.381,132,56.59,
Chipper Jones,3B,19,2499,8984,2726,468,0.303,0.401,0.529,0.93,88.3,-0.9,0.397,141,56.26,
George Brett,3B,21,2707,10349,3154,317,0.305,0.369,0.487,0.857,84.8,2.2,0.374,132,54.44,
Ron Santo,3B,15,2243,8143,2254,342,0.277,0.362,0.464,0.826,66.6,8.7,0.367,126,48.21,
Home Run Baker,3B,13,1575,5984,1838,96,0.307,0.363,0.442,0.805,59.4,9.6,0.384,134,46.8,
Paul Molitor,3B,21,2683,10835,3319,234,0.306,0.369,0.448,0.817,75.6,-6.9,0.361,122,46.52,
Brooks Robinson,3B,23,2896,10654,2848,268,0.267,0.322,0.401,0.723,47.7,39.1,0.322,104,46.46,
Scott Rolen,3B,17,2038,7398,2077,316,0.281,0.364,0.49,0.855,52.8,21.2,0.368,122,45.84,
Jimmy Collins,3B,14,1725,6795,1999,65,0.294,0.343,0.409,0.752,42.5,16.8,0.358,111,38.74,
Deacon White,3B,20,1560,6624,2067,24,0.312,0.346,0.393,0.74,49.3,1.7,0.343,121,38.43,
Pie Traynor,3B,17,1941,7559,2416,58,0.32,0.357,0.435,0.792,42.6,2,0.366,107,33.74,
George Kell,3B,15,1795,6702,2054,78,0.306,0.367,0.414,0.781,35.6,1.6,0.362,111,31.42,
Freddie Lindstrom,3B,13,1438,5611,1747,103,0.311,0.347,0.449,0.796,27.1,2.6,0.364,109,28.02,
Judy Johnson,3B,11,709,2663,809,25,0.304,0.35,0.419,0.769,11.5,3.7,0.355,103,21.21,
Ray Dandridge,3B,8,246,927,296,4,0.319,0.36,0.433,0.793,4.7,1.1,0.365,110,18.76,
Adrián Beltré,3B,21,2933,11068,3166,477,0.286,0.339,0.48,0.819,71.6,27,0.35,115,54.04
