Name,Position,Yrs,G,AB,H,HR,BA,OBP,SLG,OPS,oWAR,dWAR,w/OBA,wRC+,HoF grade,
Frank Thomas,DH,19,2322,8199,2468,521,0.301,0.419,0.555,0.974,80.4,-22.5,0.416,154,48.57,
Edgar Martinez,DH,18,2055,7213,2247,309,0.312,0.418,0.515,0.933,66.9,-9,0.405,147,46.17,
David Ortiz,DH,20,2408,8640,2472,541,0.286,0.38,0.552,0.931,56.7,-20.9,0.392,140,37.47,
Harold Baines,DH,22,2830,9908,2866,384,0.289,0.356,0.465,0.82,40.7,-19.5,0.358,119,28.33
